championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
166,3,12333,1651954325000,6333,267,True,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
112,3,8967,1651951957000,2967,3633,True,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
69,3,6199,1651956418000,199,6401,True,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
157,2,5096,1651939166000,3296,904,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
103,2,3943,1651949430000,2143,2057,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
99,2,2893,1651943484000,1093,3107,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
34,2,2727,1651774028000,927,3273,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
68,2,2549,1651870884000,749,3451,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
64,2,2460,1651854982000,660,3540,True,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
41,2,2201,1651873160000,401,3799,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
101,1,1660,1651686413000,1660,140,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
45,1,1552,1651688365000,1552,248,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
111,1,1208,1651945998000,1208,592,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
79,1,1034,1651583663000,1034,766,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
30,1,813,1651866045000,813,987,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
81,1,769,1651508586000,769,1031,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
238,1,331,1651857217000,331,1469,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
53,1,123,1651941304000,123,1677,False,0,MkqsHgO5A8n0yXwnEmrlTamCdjjjelzDp6LyfjhDMcY63kHHEmouQEMHEQ
