championId,championLevel,championPoints,lastPlayTime,championPointsSinceLastLevel,championPointsUntilNextLevel,chestGranted,tokensEarned,summonerId
19,3,6246,1649819605000,246,6354,True,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
104,2,2802,1651195216000,1002,3198,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
11,2,2088,1648676933000,288,3912,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
154,1,1395,1649139527000,1395,405,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
89,1,1329,1648098023000,1329,471,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
53,1,1097,1649130919000,1097,703,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
99,1,785,1648949181000,785,1015,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
92,1,773,1635292077000,773,1027,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
18,1,755,1635097568000,755,1045,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
23,1,725,1649956780000,725,1075,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
32,1,724,1649822220000,724,1076,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
427,1,589,1639501125000,589,1211,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
78,1,204,1636941419000,204,1596,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
5,1,190,1649910225000,190,1610,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
21,1,189,1635391487000,189,1611,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
36,1,160,1635370798000,160,1640,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
29,1,152,1636648221000,152,1648,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
115,1,148,1648945686000,148,1652,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
222,1,143,1649135194000,143,1657,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
103,1,139,1635181041000,139,1661,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
24,1,130,1649178884000,130,1670,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
7,1,123,1646849958000,123,1677,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
20,1,110,1636568625000,110,1690,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
64,1,109,1648545906000,109,1691,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
121,1,104,1646854153000,104,1696,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
13,1,90,1646852654000,90,1710,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
67,1,89,1649131968000,89,1711,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
432,1,86,1649133307000,86,1714,False,0,nnlOvQP-Cz29N-5g9vOZ0AldHp2671-vk0R2QmzmCH5w4ksk
